Date,Fox Headline,Fox Polarity,Fox Subjectivity,Fox Category,NBC Headline,NBC Polarity,NBC Subjectivity,NBC Category,Wash Post Headline,Wash Post Polarity,Wash Post Subjectivity,Wash Post Category,ABC Headline,ABC Polarity,ABC Subjectivity,ABC Category,Breitbart Headline,Breitbart Polarity,Breitbart Subjectivity,Breitbart Category,BuzzFeed Headline,BuzzFeed Polarity,BuzzFeed Subjectivity,BuzzFeed Category,China Daily Headline,China Daily Polarity,China Daily Subjectivity,China Daily Category,Sixth Tone Headline,Sixth Tone Polarity,Sixth Tone Subjectivity,Sixth Tone Category
2019-02-28 18:42:12.237731,"Trump says North Korea was 'unprepared' to meet demands, 'sometimes you have to walk'",0.0,0.0,politics,Highlights from Trump's press conference after talks break down,-0.16,0.29,miscellaneous,Cohen drops ominous hint that Trump faces legal peril,0.2,0.2,politics,'Start Here': No deal at Trump-Kim summit,0.0,0.0,miscellaneous,Trump Walks Away: Kim Summit Cut Short,0.0,0.3,politics,This Is How Pete Davidson Reacted When A Fan Joked About Mac Miller’s Death At His Comedy Show,0.0,0.0,miscellaneous,Improved legal environment highlighted in judicial reform,0.2,0.2,environment,The Railway Relics of the Russo-Japanese War,0.0,0.0,miscellaneous

2019-03-01 12:27:04.811876,"How House Republicans are making life difficult for Democrats, Pelosi",-0.5,1.0,politics,Why Trump's North Korea summit was doomed from the start,0.0,0.0,miscellaneous,President demanded top-secret clearance for Kushner over concerns of staffers,0.0,0.0,politics,Challenges ahead even if US-China trade deal made,0.0,0.0,miscellaneous,Democrats Ready to Introduce Dream Act—Amnesty for ‘Millions’,0.2,0.5,politics,"If You’ve Ever Worked Retail, These 19 Tumblr Posts Will Make You Laugh, Then Cry",0.3,0.1,miscellaneous,Improved legal environment highlighted in judicial reform,0.2,0.2,environment,Chinese ‘Deepfake’ Creator Says Videos Meant to Educate Public,0.0,0.03,international

2019-03-04 13:03:08.972727,"At least 23 dead after apparent large tornado tears through Alabama community, officials say",-0.06,0.39,environment,"Tornadoes kill at least 23, injure dozens in Alabama",-0.3,0.4,miscellaneous,Sen. Rand Paul to vote for measure blocking Trump’s emergency declaration,0.0,0.0,politics,Storm could dump 6 to 8 inches of snow on NYC,0.0,0.0,environment,"Catch and Release, Birthright Citizenship, Sanctuary Cities Continue Unaltered Despite Trump Opposition",0.0,0.0,politics,14 Things That Look A Looooooot Like Nicolas Cage,0.0,0.0,miscellaneous,Advisers' ideas sought on top tasks,0.5,0.5,miscellaneous,"Collage: China’s Week in Photos, Feb. 25-March 3",0.0,0.0,miscellaneous

2019-03-05 13:32:59.374416,"AOC, chief of staff illegally moved $885K in campaign donations 'off the books': FEC complaint",-0.4,0.35,miscellaneous,Spielberg's spat with Netflix taps into fight over the future of movies,0.0,0.12,miscellaneous,House Democrats’ wide probe of Trump casts spotlight on ambitious strategy,0.07,0.57,miscellaneous,"Tornadoes kill at least 23, including a 6-year-old",-0.3,0.4,miscellaneous,"FEC Complaint Charges Alexandria Ocasio-Cortez, Chief of Staff Hid $1 Million",-0.3,0.2,miscellaneous,13 People Who Could Only Be From The Midwest,0.0,1.0,miscellaneous,World embraces Xi's vision for development,0.0,0.0,miscellaneous,China Mustn’t Forget Its Dementia Caregivers,0.0,0.0,miscellaneous

2019-03-06 17:32:12.383241,"Chris Watts drove girls with dead mom in truck, killed them at oil field: lawyer",-0.2,0.2,miscellaneous,"North Korea rebuilding long-range rocket site, photos show",0.0,0.0,miscellaneous,N.Y. regulators subpoena Trump’s insurance broker as probes multiply,0.0,0.0,miscellaneous,Commerce secretary wants to delay hearing,0.2,0.1,miscellaneous,Emergency: Open Border Goes BoomIllegal Immigration Under Trump Projected to Surpass Obama Era Levels,0.0,0.5,miscellaneous,"19 Hilariously Illogical Reasons Kids Melted Down That Will Make You Go, “Why, Child?!”",0.15,0.64,miscellaneous,Deputies seek clarity on rights of self-defense,0.0,0.0,miscellaneous,Bowing Out: Why Traditional Kowtowing Rituals Are Under Threat,0.0,0.75,miscellaneous

2019-03-07 18:06:07.896223,Rank-and-file Dems lash out over resolution to condemn anti-Semitism,0.0,0.0,miscellaneous,"Democrats poised to take baton from Mueller, move toward impeachment",0.0,0.0,miscellaneous,"Trump losing ground on trade, North Korea, immigration priorities",0.0,0.0,miscellaneous,Manafort faces 1st sentencing for financial crimes,0.0,0.0,miscellaneous,"Report: Democrats to Condemn ‘All Hate,’ Not Anti-Semitism Specifically, in Resolution",-0.8,0.9,miscellaneous,21 British Foods I Desperately Wish We Had In America,-0.3,0.5,miscellaneous,New rocket engine to lift heavier satellite load,0.14,0.45,miscellaneous,Chinese Workers Flee Japan’s Controversial Work-Training System,0.28,0.47,miscellaneous

2019-03-18 21:24:59.999785,"Puzzling number of men linked to '14 Michael Brown protests turn up dead, spurring conspiracy theories",-0.2,0.4,miscellaneous,"Historic flooding kills three, forces hundreds from homes in Midwest ",0.0,0.0,miscellaneous,Sensors on Boeing jets draw fresh scrutiny after crashes,0.3,0.5,miscellaneous,"'Start Here': New Zealand's guns, Trump's tweets",0.14,0.45,miscellaneous,"2020: Beto Raises $6.1 Million in First 24 Hours, Tops Bernie’s 1-Day Haul",0.25,0.33,miscellaneous,19 Tweets From This Week I Guarantee You’ll Die Laughing At,0.0,0.0,miscellaneous,"Legislators, advisers call for national law to protect biodiversity",0.0,0.0,miscellaneous,Convicted Gang Rapists Appeal Already-Light Sentences,0.0,0.0,miscellaneous

2019-03-19 12:33:50.255655,"Nunes sues Twitter, some users for eye-popping amount alleging 'shadow bans,' smears",0.0,0.0,miscellaneous,"Officially, the notebook does not exist. But it's the key for migrants to get into the U.S. ",0.0,1.0,miscellaneous,Trump response to New Zealand attacks highlights his fraught history with Muslims,0.14,0.45,miscellaneous,Supreme Court agrees to hear deadly sniper case,-0.2,0.4,miscellaneous,Exclusive — President Trump on His Supporters: ‘They’re Smarter and They’re Tougher and They Work Their Asses Off’,0.0,0.0,miscellaneous,23 Pictures You Won’t Even BEGIN To Understand If You’ve Never Worked Retail,0.0,0.0,miscellaneous,Hog slaughter operations being inspected nationwide,0.0,0.0,miscellaneous,Convicted Gang Rapists Appeal Already-Light Sentences,0.0,0.0,miscellaneous

2019-03-20 17:35:22.877194,Trump's Supreme Court appointees find themselves on opposing sides in 2 of 3 cases Tuesday,0.0,0.0,miscellaneous,"Democrats alter how they run campaigns to prove liberal values, dodge hypocrisy claims",0.0,0.0,miscellaneous,"Candidates reach for the ticket to Democratic debates: 65,000 donors",0.0,0.0,miscellaneous,"'Start Here': Mueller, Cohen, postpartum drug",0.0,0.0,miscellaneous,"Romney ‘Can’t Understand’ Why Trump Would ‘Disparage’ ‘Heroic,’ ‘Honorable’ McCain",0.7,0.9,miscellaneous,"If You Weren’t Already Afraid Of The Open Sea, These 23 Pics Will Do The Trick",-0.3,0.7,miscellaneous,Xi urges advancing reform tasks,0.0,0.0,miscellaneous,On Exhibit: Street Art Without Heart,0.0,0.0,miscellaneous

2019-03-22 13:23:09.445906,"Clinton, in newly revealed emails, discussed classified matters, secretive channel with Israel",0.14,0.45,miscellaneous,Midwest flooding could dramatically change future of farming communities,0.0,0.12,miscellaneous,Britain gets a short reprieve on leaving European Union,0.0,0.15,miscellaneous,WH rejects request for Trump-Putin communications,0.0,0.0,miscellaneous,Report: Final Islamic State Stronghold in Syria Falls,0.0,1.0,miscellaneous,25 Things That Were So Normal To Do In 1995 That Gen Z Will Never Understand,0.15,0.65,miscellaneous,Xi begins European tour in Italy,0.0,0.0,miscellaneous,How I’m Restoring One of China’s Most Beautiful Villages,0.68,0.75,miscellaneous

2019-03-23 17:14:31.307513,"Delivery of Mueller report met with stunned surprise – and tears? – on CNN, MSNBC",0.0,0.0,miscellaneous,A country that idolizes Clinton and Bush grapples with ghosts of its bloody past ,-0.53,0.57,miscellaneous,Mueller submits final report without further indictments,0.0,0.75,miscellaneous,Here are indictments and cases in Mueller's probe,0.0,0.0,miscellaneous,Mueller Concludes Russian Collusion InvestigationNo More Indictments,0.25,0.25,miscellaneous,19 Controversial Chrissy Teigen Food Opinions That You Will Either Love Or Hate,0.08,0.82,miscellaneous,Xi begins European tour in Italy,0.0,0.0,miscellaneous,The Yancheng Blast Shows the Importance of Media Oversight,0.0,0.0,miscellaneous

2019-03-24 13:00:56.045676,Rep. Ilhan Omar faces hundreds of protesters outside CAIR fundraiser event,0.0,0.05,miscellaneous,A country that idolizes Clinton and Bush grapples with ghosts of its bloody past ,-0.53,0.57,miscellaneous,"Awaiting Mueller’s findings, Trump allies claim victory and Democrats urge transparency",0.0,0.0,miscellaneous,Powerball jackpot rises to $750 million,0.0,0.0,miscellaneous,Chris Matthews’ Big Time Melt Down Furious POTUS Never InvestigatedHow Could Mueller Let Trump ‘Off the Hook?’,-0.08,0.19,miscellaneous,21 Of The Most Powerful Photos Of This Week,0.4,0.75,miscellaneous,Xi begins European tour in Italy,0.0,0.0,miscellaneous,How Chinese Youth Are Finding Depth in the Two-Dimensional World,-0.05,0.05,miscellaneous

2019-03-25 11:23:43.729410,"Trump's team calls for investigation into Russia probe origin, hits Dems over Mueller findings",0.0,0.0,miscellaneous,WHY DID MUELLER PUNT ON OBSTRUCTION OF JUSTICE?,0.0,0.0,miscellaneous,"Mueller finds no conspiracy, attorney general says",0.05,0.5,miscellaneous,Barr's letter to Congress on the Mueller report,0.0,0.0,miscellaneous,"Updates: Collusion Dream Dies’Resistance’ and Media Humiliated, President ExoneratedBarr Report Debunks Anti-Trump ConspiraciesBut What Will Be Next Hoax?",0.0,0.0,miscellaneous,The New Netflix Titles Are Here And There’s So Much Good Stuff To Watch,0.42,0.53,miscellaneous,Medical treatment top priority after blast in Xiangshui,0.25,0.25,miscellaneous,"Collage: China’s Week in Photos, March 18-24",0.0,0.0,miscellaneous

2019-03-26 16:42:15.018659,Pentagon directs $1B in funding for border wall in 'support' of Trump's national emergency declaration,0.0,0.0,miscellaneous,Spate of apparent suicides spotlights school-shooting survivor's guilt,0.05,0.35,miscellaneous,Dispute erupts over Mueller’s findings,0.0,0.0,miscellaneous,Defense secretary OK's $1B for border fencing help,0.5,0.5,miscellaneous,Pinkerton: Russia to JudgmentAll Conspiracy Roads Lead to Hillary’Collusion Truthers’ and the ’Fake News Trifecta’,-0.5,1.0,miscellaneous,21 Scantron Memes That Are Hilarious And Clever,0.33,0.92,miscellaneous,Inspectors to assess chemical hazards,0.0,0.0,miscellaneous,How TikTok’s Cross-Dressing Stars Turn Femininity Into a Joke,0.0,0.0,miscellaneous

2019-03-27 10:20:15.522116,"Lawyer, former Obama aide's communications to prosecutor in Smollett case draw scrutiny",0.0,0.0,miscellaneous,Top Chicago prosecutor taking heat for dropping charges against Smollett,0.5,0.5,miscellaneous,"Trump surprises Republicans, pleases Democrats with push for health-care battle",0.0,0.0,miscellaneous,OxyContin family stops giving as museums cut ties,0.0,0.0,miscellaneous,Jussie Smollett’s ‘Community Service’: 18 Hours with Jesse Jackson’s Organization,0.0,0.0,miscellaneous,15 Hilarious Notes That Could Only Be Written By Husbands And Boyfriends,0.25,1.0,miscellaneous,Inspectors to assess chemical hazards,0.0,0.0,miscellaneous,Camera Above the Classroom,0.0,0.1,miscellaneous

2019-03-28 12:33:40.646642,"Trump vows to go public with FISA docs in wake of Mueller probe, slams 'treasonous' FBI on 'Hannity'",0.0,0.07,miscellaneous,"Comey: Mueller report shows Trump lied about FBI, failed to destroy it",-0.35,0.15,miscellaneous,"Boeing, initially defensive, now ‘humbled’ by 737 Max crisis ",0.0,0.0,miscellaneous,Admitted push teen to spend 2 days in jail,-0.05,0.0,miscellaneous,Comey: ‘Good News’ That Evidence Doesn’t Establish Americans Conspiring with Russia,0.7,0.6,miscellaneous,15 Reasons Why Vaccinating Your Kids Is The Worst Thing You Can Do For Them,-1.0,1.0,miscellaneous,Ground Force tests proficiency of top officers,0.5,0.5,miscellaneous,"China Wants More Anesthesiologists, Vaginal Births",0.35,0.3,miscellaneous

2019-03-29 12:44:01.224096,Fired-up president says Democrats 'defrauding the public with ridiculous bullsh--',-0.17,0.53,miscellaneous,DHS to ask Congress for sweeping authority to deport unaccompanied migrant children,0.0,0.0,miscellaneous,How Trump dodged a special counsel interview — and a subpoena fight,0.36,0.57,miscellaneous,SCOTUS refuses to stop Trump admin bump stock ban,0.0,0.0,miscellaneous,Donald Trump: Illegal Immigrants Met by Democrat Lawyers at the Border,-0.5,0.5,miscellaneous,"27 “Overheard” Conversations That Are So Los Angeles, It Actually Hurts",0.0,0.1,miscellaneous,Event planned to fete PLA Navy's 70th anniversary,0.0,0.0,miscellaneous,Chinese Developers Protest Overwork on GitHub,0.0,0.0,miscellaneous

2019-03-30 15:22:42.105063,"Valerie Plame, outed CIA agent and Trump critic, making political plans: report",0.0,0.1,miscellaneous,Trump threatens border closing next week: 'I'm not playing games',0.0,0.0,miscellaneous,"With social program fights, some in GOP fear being seen as the party of the 1 percent",0.03,0.07,miscellaneous,SBA Admin Linda McMahon expected to resign,-0.1,0.4,miscellaneous,Ocasio-Cortez: I Did Not Expect GOP to Make ‘Total Fools of Themselves’ with Green New Deal Attacks,-0.02,0.5,miscellaneous,Purr feet And Hilarious Rules Their Pets Have Implemented In Their House,0.5,1.0,miscellaneous,Event planned to fete PLA Navy's 70th anniversary,0.0,0.0,miscellaneous,Why It’s Time to Reform China’s Academic Publishing Databases,0.0,0.0,miscellaneous

2019-03-31 10:20:35.826434,South Carolina man charged with kidnapping and murder of University of South Carolina student,0.0,0.0,miscellaneous,"Trump administration says it will cut foreign aid for Guatemala, Honduras, El Salvador",-0.12,0.12,miscellaneous,Trump to cut millions in U.S. aid to 3 Central American countries,0.0,0.12,miscellaneous,Judge restores Obama-era drilling ban in Arctic,0.0,0.0,miscellaneous,Rob Reiner Rejects Total Exoneration ’We’ve seen Collusion and Obstruction in plain sight’’Trust Your Eyes’,-0.11,0.55,miscellaneous,9 Awesome Movies Coming To Theaters In April 2019,1.0,1.0,miscellaneous,Event planned to fete PLA Navy's 70th anniversary,0.0,0.0,miscellaneous,How We Can Improve the Lives of China’s Delivery Drivers,0.0,0.0,miscellaneous

2019-04-01 13:16:07.120091,Many 2020 Dems 'believe' misconduct accuser; 1 candidate 'not sure' claim 'disqualifies',0.12,0.69,miscellaneous,Not your father's campaign trail: What might have happened to Buttigieg a generation ago,0.0,0.0,miscellaneous,White House doubles down on threat to close U.S.-Mexico border,-0.08,0.14,miscellaneous,2 Marines killed in helicopter crash: Officials,-0.2,0.0,miscellaneous,"Mick Mulvaney: Migrants, Democrats Are Shutting Down the Border",-0.16,0.29,miscellaneous,A Woman Is Suing TGI Friday’s For $5 Million For Fake Potato Skin Chips,-0.5,1.0,miscellaneous,Xiongan area's rosy prospects draw workers,0.0,0.0,miscellaneous,Why Northeast China’s Forgotten Japanese Shrines Still Matter,0.0,0.0,miscellaneous

2019-04-02 17:36:49.442305,"Disaster relief for flooded Midwest stalled by Dems' 'political games,' GOP says",0.0,0.1,miscellaneous,'What's on the horizon': How N.J. turned vocational schools into sought-after academies,0.3,0.4,miscellaneous,"Khashoggi children receive payments, houses from Saudi Arabia after killing",0.0,0.0,miscellaneous,4 dead bodies found at North Dakota business,-0.2,0.4,miscellaneous,Solomon – Joe Biden’s 2020 Ukrainian Nightmare: A Closed Probe Is Revived,-0.1,0.1,miscellaneous,18 Times Gay Twitter Was Hilarious,0.46,0.79,miscellaneous,Bay Area to fuel growth along Belt and Road,0.0,0.0,miscellaneous,Reusable Rocket Landing One Small Step for China’s Space Startups,-0.25,0.4,miscellaneous

2019-04-07 15:18:26.872999,"Says opponents condone high taxes, open borders, late-term abortion, anti-Semitism",0.08,0.52,miscellaneous,What does it mean to be European in the Brexit era? We asked millennials,-0.16,0.34,miscellaneous,"Without a well-defined border strategy, Trump seeks quick-fix solutions",0.0,0.0,miscellaneous,Legendary wrestler attacked by man during speech,1.0,1.0,miscellaneous,Swastika-Clad Protesters Interrupt Trump Speech to Jewish Republicans,0.0,0.0,miscellaneous,A Look Back At What People Were Wearing At Coachella 10 Years Ago,0.0,0.0,miscellaneous,State Council pledges more fee reductions,0.5,0.5,miscellaneous,Govt Report Details Alarming Effects of Climate Change in China,-0.1,0.6,miscellaneous

2019-04-10 17:42:08.862984,"AOC tweets theory on migrant crisis, slams 'far-right' for drumming up fear, resistance to immigrants",0.0,0.0,miscellaneous,"After latest police shooting, residents in California city declare police force 'rotten'",0.5,0.9,miscellaneous,Inside the White House’s growing panic to contain the border crisis,0.0,0.0,miscellaneous,"'Start Here': Trump, Homeland Security, Barr",0.0,0.0,miscellaneous,Netanyahu wins historic fifth termNew York Times Declares ‘Setback’,0.15,0.1,miscellaneous,16 Panorama Fails That Are Liiiiiterally Out Of A Horror Movie,-0.5,0.3,miscellaneous,Court rejects excuse for criminal acts,-0.23,0.3,miscellaneous,The Cycle of Negligence at China’s Health-Check Companies,0.0,0.0,miscellaneous

2019-04-11 14:04:22.189603,Speaker blasts Barr after he appeared to back claims from Trump campaign about FBI 'spying',0.0,0.0,miscellaneous,"Post Mueller, Trump pushes the bounds of his power",0.0,0.0,miscellaneous,"European leaders offer Brexit delay, averting chaotic Friday exit",0.0,0.0,miscellaneous,EU offers UK a Brexit delay until Halloween,0.1,0.0,miscellaneous,Barack Obama’s Former White House Counsel Expects To Be Indicted on Federal Corruption Charges,0.0,0.0,miscellaneous,Celebrities And TV Shows Are Celebrating National Sibling Day And I Can’t Get Enough Of It,0.0,0.5,miscellaneous,"Swine fever contained, minister says",0.0,0.0,miscellaneous,Banned ‘Vision-Recovering’ Products Still Being Sold Online,0.0,0.0,miscellaneous

2019-04-12 13:04:38.823805,Dem rep called out for telling veteran to 'go do something' about domestic terror,0.0,0.05,miscellaneous,White House considered dumping migrants in 'sanctuary cities' as political retaliation ,0.0,0.05,miscellaneous,White House wanted detainees released to ‘sanctuary cities’ to target Trump’s foes,0.0,0.0,miscellaneous,Former Obama White House counsel indicted,0.0,0.0,miscellaneous,Devin Nunes Sends Criminal Referrals to AG Barr Alleging ‘Potential Violations’ in Russia Probe,-0.2,0.78,miscellaneous,"25 Weird And Freaky Pictures That Will Make You Go, “Whoa Dude”",-0.5,1.0,miscellaneous,Tsinghua University will expel those who plagiarize,0.0,0.0,miscellaneous,Giggling Into the Abyss: China Memes First Black Hole Image,0.04,0.38,miscellaneous

2019-04-13 11:48:27.411468,Nancy Pelosi grapples with her own 'Tea Party' as liberal wing flexes muscle,0.6,1.0,miscellaneous,U.S. court temporarily allows Trump administration to resume returning asylum-seekers to Mexico,0.0,0.0,miscellaneous,"Trump’s plan to send detainees to ‘sanctuary cities’ may be costly, illegal",-0.5,0.5,miscellaneous,Fisher-Price Rock N' Play sleepers recalled,0.0,0.0,miscellaneous,Rep. Omar Compares Her ‘Some People Did Something’ 9/11 Remarks to President George W. Bush,0.0,0.0,miscellaneous,This New Sandwich Uses Pickles Instead Of Bread And People Are All About It,0.14,0.45,miscellaneous,Tsinghua University will expel those who plagiarize,0.0,0.0,miscellaneous,Photo Agency Apologizes for Claiming Rights to Black Hole Pic,-0.17,0.43,miscellaneous

2019-04-14 15:40:04.172251,"Trump blasts New York Times reporting, says paper will be gone 'in 6 years'",0.14,0.45,miscellaneous,"AOC, O'Rourke and other Democrats condemn Trump's 9/11 post on Omar",-0.12,0.38,miscellaneous,"Venezuela’s military, despite U.S. expectations, has not turned on Maduro",-0.1,0.1,miscellaneous,Ivanka Trump in Africa to promote women at work program,0.0,0.0,miscellaneous,Socialist Bernie Sanders Defends Being Millionaire: ‘I Didn’t Know It Was a Crime to Write a Good Book’,0.7,0.6,miscellaneous,18 Of The Most WTF Moments From Rom-Coms,0.0,0.75,miscellaneous,Tsinghua University will expel those who plagiarize,0.0,0.0,miscellaneous,Photo Agency Apologizes for Claiming Rights to Black Hole Pic,-0.17,0.43,miscellaneous

2019-04-15 22:38:55.293677,"Christian university’s students, alumni outraged over Pence invite to speak at graduation",-0.45,0.5,miscellaneous,Deadly storm threatens millions in Northeast after pummeling South with tornadoes,-0.2,0.4,miscellaneous,Democrats take aim at Stephen Miller over his role in immigration policy,0.0,0.0,miscellaneous,Assange accused of spying inside Ecuador's embassy,0.0,0.0,miscellaneous,2020: Unions Worry Democrats Ignoring ‘Kitchen-Table Economics’ for Divisive Far-Left Issues,0.0,0.0,miscellaneous,"Here Are The Best And Funniest Tweets About “Game Of Thrones” Season 8, Episode 1",0.3,0.35,miscellaneous,Nation to attract more foreign talent,0.19,0.31,miscellaneous,The Invasion of the Livestreamers: How a Man Became a Meme,0.0,0.0,miscellaneous

2019-04-16 13:20:53.665123,Bernie Sanders faces pressure over proposed 'wealth tax' at heated Fox News town hall,0.0,0.0,miscellaneous,"An ALS patient's dilemma: End his own life peacefully, or die slowly of the disease?",0.18,0.63,miscellaneous,"Notre Dame suffers ‘colossal damage,’ but Macron promises to rebuild",-0.15,0.75,miscellaneous,Historic importance of Notre Dame,0.0,0.0,miscellaneous,Holy Week Fire at Notre-DameFire Chief: structure ’saved and preserved in its entirety’2/3 of roof destroyed300-year old Spire Collapse,0.1,0.2,miscellaneous,"If We Look At The Past, There’s Hope For Notre Dame",-0.25,0.25,miscellaneous,Govt moves to cut chemical plant risks,0.0,0.0,miscellaneous,The Invasion of the Livestreamers: How a Man Became a Meme,0.0,0.0,miscellaneous

2019-04-17 12:30:22.838425,Prosecutor calls Jussie Smollett 'washed up actor who lied to cops' in messages: report,0.0,0.0,miscellaneous,Notre Dame organist playing as fire started calls devastation 'unbearable',0.0,0.0,miscellaneous,France launches probe into cause of Notre Dame inferno,0.0,0.0,miscellaneous,Trump vetoes resolution to end US support in Yemen,0.0,0.0,miscellaneous,Pew Research: Hispanics to Outpace Black Americans as Largest Voting Minority in 2020,-0.17,0.43,miscellaneous,Here’s What Jon Snow Might Do About Daenerys On “Game Of Thrones”,-0.4,0.4,miscellaneous,No timetable for resuming 737 Max 8 flights,0.0,0.0,miscellaneous,"For China’s Abandoned Children, Acrobatics Is a Harsh Last Hope",-0.1,0.38,miscellaneous

2019-04-18 09:36:12.020736,"With Mueller report looming, Trump approval rating after probe revealed in Fox News Poll",0.0,0.0,miscellaneous,"As AG Barr announces Thursday news conference, here’s what to expect in the Mueller report",0.0,0.0,miscellaneous,"Mueller report will be lightly redacted, offering detailed look at investigation",0.4,0.72,miscellaneous,Michigan measles patient likely got it in NY,0.0,1.0,miscellaneous,Rob Reiner: Trump will Use Mueller Report to ‘Drive Stake Through the Heart of Democracy’,0.0,0.0,miscellaneous,Oprah And Gayle Have An Emergency Plan For If Gayle Ever Sleeps With Stedman And It’s Too Funny,0.25,1.0,miscellaneous,No timetable for resuming 737 Max 8 flights,0.0,0.0,miscellaneous,Greenpeace Study Shines Light on China’s Polluted Soils,0.4,0.7,miscellaneous

2019-04-19 12:53:55.507837,"Mueller report sparks tinderbox of subpoena threats, payback claims",0.0,0.0,miscellaneous,"Mueller report shows Russians, Trump camp were friends with benefits",0.0,0.0,miscellaneous,"Mueller lays out evidence against Trump on obstruction, Russia",0.0,0.0,miscellaneous,Barr mischaracterized Mueller report: Democrats,0.0,0.0,miscellaneous,"James Clapper: Mueller Report ‘Devastating,’ ‘Road Map’ for Impeachment",-1.0,1.0,miscellaneous,Anne Hathaway Explained Her Decision To Quit Drinking And It’s So Important,0.4,1.0,miscellaneous,China offers to lift others' lunar projects,0.1,0.0,miscellaneous,Chinese Health Care Is Betting Big on AI,0.0,0.05,miscellaneous

2019-04-20 21:25:15.559161,Mike Huckabee lashes out after Sen. Mitt Romney takes swipe at President Trump,0.0,0.0,miscellaneous,The counterintelligence investigation of the Trump team and Russia is still going on,0.0,0.0,miscellaneous,Investigate Trump or impeach? Democrats split over endgame.,0.0,0.0,miscellaneous,Storms give way to pleasant Easter Sunday,0.73,0.97,miscellaneous,April Ryan References ‘Lopping the Heads Off’ in Calling for Firing of Sarah Sanders,0.0,0.0,miscellaneous,17 Coworkers We All Wish We Had In Our Lives,0.0,0.0,miscellaneous,China offers to lift others' lunar projects,0.1,0.0,miscellaneous,To Community and Beyond: Chinese Sci-Fi’s Next Giant Leap,0.0,0.33,miscellaneous

2019-04-21 11:12:46.285761,"Post-Mueller report, journalists rethink handling of Romney's 2012 Russia prediction",0.0,0.0,miscellaneous,Armed militia member arrested for detaining migrants in New Mexico,0.14,0.45,miscellaneous,"Armed with Mueller report, Democrats confront Trump’s spin machine",0.0,0.0,miscellaneous,Ex-Marine arrested in North Korea embassy attack,0.0,0.0,miscellaneous,"Pinkerton: Making American Healthcare Great Again, Part Three — Donald Trump vs. Bernie Sanders",0.4,0.38,miscellaneous,21 Hilarious And Grumpy Parents Who Are In A Seriously Bad Mood,-0.1,0.83,miscellaneous,China offers to lift others' lunar projects,0.1,0.0,miscellaneous,To Community and Beyond: Chinese Sci-Fi’s Next Giant Leap,0.0,0.33,miscellaneous

2019-04-22 18:44:42.052370,"Sri Lanka blames shadowy Islamist group, 7 suicide bombers, for Easter attack that killed nearly 300",-0.05,0.2,miscellaneous,"Sri Lanka was warned of terrorist plot weeks ago, but 'never expected it to be so big'",0.03,0.25,miscellaneous,Islamic militant group blamed for deadly bombings in Sri Lanka,-0.2,0.4,miscellaneous,"'Start Here': Bombs in Sri Lanka, Dems' next steps",0.0,0.0,miscellaneous,Sri Lanka Blasts: Radical Islamist Terrorists Blamed for Easter Blasts,0.0,0.0,miscellaneous,"May I Present The 19 Funniest Tumblr Jokes From “Game Of Thrones” Season 8, Episode 2",-0.2,0.2,miscellaneous,Xi underlines studies on May Fourth Movement,0.0,0.0,miscellaneous,China’s Hottest New Song is a Rap About Noodles,0.14,0.45,miscellaneous

2019-04-23 12:50:09.778697,"Pelosi, leaders hold off on impeachment process as Waters makes feelings known",0.0,0.0,miscellaneous,"Militia leader said group trained to assassinate Clinton, Obama, complaint says",-0.3,0.2,miscellaneous,Sri Lankan police home in on obscure Islamist group in Easter attacks,0.0,0.0,miscellaneous,"Quake kills at least 11, 24 missing in northern Philippines",-0.25,0.23,miscellaneous,Harris: I’ll ‘Take Executive Action’ if Congress Doesn’t Pass Gun Legislation in First 100 Days,0.17,0.22,miscellaneous,19 Pictures Of Unexplained Stuff That’ll Make You Pee Your Pants,-0.05,0.0,miscellaneous,Well-tuned steps urged for poverty eradication,0.0,0.0,miscellaneous,"Vlogs, Once Ignored in China, Are Suddenly in Vogue",0.0,0.5,miscellaneous

2019-04-24 12:37:29.497389,Limbaugh fires warning to Republicans who won't back Trump after Mueller report,0.0,0.0,miscellaneous,Border Patrol finds abandoned toddler with phone number on his shoes ,0.0,0.0,miscellaneous,Trump says he is opposed to White House aides testifying to Congress,0.0,0.0,miscellaneous,"Expert reports 12,254 Boy Scout sex abuse victims",0.0,0.0,miscellaneous,Cummings: Trump Deserves to Have the Mark of Impeachment,0.0,0.0,miscellaneous,"17 Parents Whose Hilariously Real Texts Will Make Other Parents Go, “Yup, That About Sums It Up.”",0.04,0.34,miscellaneous,Maritime world with shared future proposed,0.0,0.12,miscellaneous,China’s National Library to Archive 200 Billion Weibo Posts,0.0,0.0,miscellaneous

